iter	Logloss
0	0.611092272
1	0.5434986298
2	0.4854767497
3	0.4373736341
4	0.3972042044
5	0.3638607565
6	0.3362473032
7	0.3131359499
8	0.2940716573
9	0.2782423068
10	0.2643378826
11	0.2526295273
12	0.2428054559
13	0.2345587838
14	0.2274671755
15	0.2216748728
16	0.2169477066
17	0.2126915709
18	0.2086109283
19	0.2051541392
20	0.2022902378
21	0.1996389659
22	0.1973885563
23	0.1954085718
24	0.1936870584
25	0.1921524642
26	0.1909557542
27	0.1897838378
28	0.1887842017
29	0.187857763
30	0.1870754514
31	0.1863270173
32	0.1856809254
33	0.1850938571
34	0.1845956695
35	0.18414361
36	0.1837636506
37	0.1834577333
38	0.183131808
39	0.1828744669
40	0.1826160736
41	0.1823845652
42	0.1821762002
43	0.1819883414
44	0.1818221801
45	0.1816748162
46	0.1815436709
47	0.1814274999
48	0.1813302271
49	0.181231119
50	0.1811615921
51	0.18109536
52	0.1810296874
53	0.1809655086
54	0.1809153774
55	0.180863571
56	0.1808209354
57	0.1807775225
58	0.1807456828
59	0.180709046
60	0.1806798132
61	0.1806529488
62	0.180629176
63	0.1806118472
64	0.1805912292
65	0.1805744341
66	0.1805582069
67	0.1805445075
68	0.1805351156
69	0.1805187909
70	0.1805037755
71	0.1804969551
72	0.1804880669
73	0.1804777084
74	0.1804688137
75	0.1804620475
76	0.1804543526
77	0.180449234
78	0.1804437713
79	0.1804402547
80	0.1804348457
81	0.1804329404
82	0.1804280074
83	0.1804250163
84	0.1804228377
85	0.180417117
86	0.1804157397
87	0.1804122918
88	0.1804099832
89	0.1804072109
90	0.1804033583
91	0.1804008336
92	0.1803981114
93	0.1803971788
94	0.1803947739
95	0.1803936244
96	0.1803908626
97	0.1803903117
98	0.1803871541
99	0.1803859959
100	0.180384379
101	0.1803839149
102	0.1803825176
103	0.1803818666
104	0.1803806808
105	0.18037799
106	0.1803763204
107	0.1803759369
108	0.180373066
109	0.1803716577
110	0.1803702491
111	0.1803696112
112	0.1803671823
113	0.1803671426
114	0.180366015
115	0.1803639575
116	0.1803619465
117	0.1803612019
118	0.1803578771
119	0.1803585685
120	0.1803536471
121	0.1803507835
122	0.1803506881
123	0.1803492342
124	0.1803496781
125	0.1803477235
126	0.1803477718
127	0.1803472264
128	0.180346737
