iter	Passed	Remaining
0	25	38550
1	55	41696
2	86	43367
3	119	44864
4	150	44855
5	180	44870
6	211	45132
7	243	45413
8	274	45408
9	306	45624
10	336	45612
11	373	46326
12	406	46500
13	438	46585
14	468	46423
15	500	46390
16	532	46460
17	564	46468
18	594	46330
19	621	46003
20	651	45880
21	683	45924
22	714	45900
23	749	46106
24	794	46846
25	823	46665
26	854	46598
27	907	47734
28	942	47791
29	971	47611
30	1004	47585
31	1033	47395
32	1063	47286
33	1095	47249
34	1124	47050
35	1156	47050
36	1189	47043
37	1218	46872
38	1259	47170
39	1295	47280
40	1330	47359
41	1362	47286
42	1390	47111
43	1422	47077
44	1450	46892
45	1477	46704
46	1501	46425
47	1529	46279
48	1560	46208
49	1606	46595
50	1639	46573
51	1671	46550
52	1712	46765
53	1744	46721
54	1776	46663
55	1803	46502
56	1836	46483
57	1879	46734
58	1911	46693
59	1942	46610
60	1971	46510
61	2000	46401
62	2031	46335
63	2063	46295
64	2092	46197
65	2120	46081
66	2152	46032
67	2184	46007
68	2218	46002
69	2247	45906
70	2276	45824
71	2306	45755
72	2338	45706
73	2369	45652
74	2397	45556
75	2427	45479
76	2455	45381
77	2483	45283
78	2515	45242
79	2547	45209
80	2577	45161
81	2608	45107
82	2645	45168
83	2680	45181
84	2713	45168
85	2754	45287
86	2786	45264
87	2829	45405
88	2860	45343
89	2890	45291
90	2919	45203
91	2940	45008
92	2971	44956
93	3001	44900
94	3032	44853
95	3063	44804
96	3093	44743
97	3123	44684
98	3159	44713
99	3190	44664
100	3220	44603
101	3246	44502
102	3277	44456
103	3309	44429
104	3341	44397
105	3372	44355
106	3403	44303
107	3433	44250
108	3461	44171
109	3495	44174
110	3525	44111
111	3555	44059
112	3592	44092
113	3621	44033
114	3650	43967
115	3678	43890
116	3705	43806
117	3738	43778
118	3766	43710
119	3792	43618
120	3820	43542
121	3850	43495
122	3878	43420
123	3904	43331
124	3934	43277
125	3956	43148
126	3984	43075
127	4011	42993
128	4038	42925
129	4069	42882
130	4097	42819
131	4124	42739
132	4153	42693
133	4181	42626
134	4210	42570
135	4237	42503
136	4267	42453
137	4295	42392
138	4321	42310
139	4350	42260
140	4377	42195
141	4405	42127
142	4436	42097
143	4465	42051
144	4498	42034
145	4527	41990
146	4562	41992
147	4591	41943
148	4619	41886
149	4647	41828
150	4677	41791
151	4710	41776
152	4739	41722
153	4766	41661
154	4795	41614
155	4824	41565
156	4851	41504
157	4880	41453
158	4909	41404
159	4936	41342
160	4963	41276
161	4991	41226
162	5022	41198
163	5049	41138
164	5078	41091
165	5105	41029
166	5134	40983
167	5160	40916
168	5183	40822
169	5209	40760
170	5234	40684
171	5258	40599
172	5283	40525
173	5311	40474
174	5340	40436
175	5371	40406
176	5397	40347
177	5422	40270
178	5453	40244
179	5479	40180
180	5517	40209
181	5546	40164
182	5573	40108
183	5602	40072
184	5630	40021
185	5660	39986
186	5689	39944
187	5715	39887
188	5738	39805
189	5767	39765
190	5796	39727
191	5823	39669
192	5849	39611
193	5876	39561
194	5900	39487
195	5928	39445
196	5957	39405
197	5988	39377
198	6017	39341
199	6049	39324
200	6077	39277
201	6106	39238
202	6134	39196
203	6158	39126
204	6189	39098
205	6220	39074
206	6250	39045
207	6277	38993
208	6306	38952
209	6331	38895
210	6371	38921
211	6415	38979
212	6445	38942
213	6474	38904
214	6503	38869
215	6533	38840
216	6561	38796
217	6604	38839
218	6630	38783
219	6657	38736
220	6687	38699
221	6716	38666
222	6750	38659
223	6778	38612
224	6804	38561
225	6834	38524
226	6860	38471
227	6887	38426
228	6919	38406
