iter	Passed	Remaining
0	50	25079
1	106	26510
2	166	27559
3	238	29560
4	299	29671
5	359	29576
6	413	29153
7	475	29229
8	551	30084
9	609	29877
10	668	29721
11	737	29989
12	798	29920
13	870	30207
14	932	30164
15	1013	30648
16	1083	30779
17	1147	30735
18	1207	30564
19	1276	30636
20	1361	31065
21	1465	31842
22	1551	32169
23	1609	31924
24	1679	31906
25	1742	31759
26	1801	31566
27	1866	31457
28	1940	31514
29	2007	31444
30	2088	31596
31	2149	31438
32	2206	31232
33	2269	31100
34	2335	31034
35	2392	30840
36	2449	30657
37	2524	30693
38	2589	30605
39	2646	30437
40	2705	30283
41	2776	30278
42	2871	30519
43	2937	30438
44	3004	30383
45	3062	30228
46	3124	30118
47	3189	30034
48	3258	29990
49	3331	29981
50	3414	30064
51	3479	29974
52	3554	29975
53	3598	29721
54	3656	29583
55	3722	29517
56	3773	29329
57	3810	29037
58	3870	28928
59	3937	28876
60	4024	28962
61	4086	28871
62	4168	28912
63	4230	28818
64	4302	28791
65	4355	28643
66	4444	28726
67	4547	28889
68	4605	28766
69	4673	28710
70	4736	28617
71	4802	28549
72	4881	28556
73	4951	28506
74	5013	28407
75	5073	28304
76	5137	28224
77	5191	28086
78	5258	28022
79	5335	28012
80	5395	27912
81	5477	27920
82	5547	27869
83	5607	27769
84	5682	27743
85	5752	27694
86	5824	27647
87	5880	27531
88	5940	27434
89	6009	27376
90	6065	27261
91	6134	27206
92	6196	27117
93	6256	27023
94	6331	26993
95	6392	26903
96	6469	26878
97	6541	26833
98	6594	26712
99	6665	26661
100	6734	26603
101	6815	26592
102	6886	26543
103	6948	26458
104	7020	26410
105	7083	26330
106	7142	26235
107	7206	26157
108	7241	25977
109	7313	25930
110	7367	25820
111	7432	25748
112	7495	25669
113	7558	25592
114	7627	25534
115	7681	25429
116	7758	25398
117	7827	25339
118	7890	25264
119	7950	25176
120	8015	25107
121	8076	25023
122	8135	24935
123	8199	24862
124	8260	24780
125	8318	24690
126	8383	24623
127	8445	24544
128	8505	24461
129	8572	24398
130	8633	24318
131	8693	24235
132	8756	24161
133	8822	24097
134	8885	24023
135	8953	23962
136	9013	23881
137	9068	23789
138	9146	23754
139	9199	23655
140	9274	23612
141	9335	23536
142	9404	23479
143	9459	23385
