iter	Logloss
0	0.609492481
1	0.5564566519
2	0.5216847848
3	0.4947215663
4	0.4810259939
5	0.470625969
6	0.4622835733
7	0.4561298827
8	0.4521337824
9	0.4493969649
10	0.4477336975
11	0.4464601043
12	0.4450875452
13	0.4445765144
14	0.4440024666
15	0.4432503542
16	0.4427274625
17	0.442424526
18	0.4421336766
19	0.441990275
20	0.4418466707
21	0.4416977982
22	0.4414606855
23	0.441379027
24	0.4412549852
25	0.4411145069
26	0.4410601818
27	0.4409876987
28	0.4408635838
29	0.4407790537
30	0.4407226546
31	0.4406468376
32	0.4405975049
33	0.4405218743
34	0.4404433136
35	0.4403869547
36	0.4403173601
37	0.4402537643
38	0.4401974891
39	0.4401424502
40	0.4401069781
41	0.4400545991
42	0.4400127369
43	0.4400019351
44	0.4399458642
45	0.439883991
46	0.4398441334
47	0.4397986291
48	0.4397326026
49	0.4396797456
50	0.4396085045
51	0.4395875076
52	0.4395351927
53	0.4394687204
54	0.4393976872
55	0.439345135
56	0.4393035865
57	0.4392397037
58	0.4391814296
59	0.4391582141
60	0.4391126656
61	0.4390759657
62	0.4390144274
63	0.4389742373
64	0.4389358957
65	0.4388942303
66	0.4388698667
67	0.4387945105
68	0.4387269303
69	0.4386529461
70	0.4386255421
71	0.4385796046
72	0.4385193443
73	0.4384669279
74	0.4384007173
75	0.4383535092
76	0.4383171778
77	0.4382642433
78	0.4382269676
79	0.4381773585
80	0.4381319926
81	0.4380849199
82	0.4380055026
83	0.4379418662
84	0.4378848846
85	0.4378466215
86	0.4377354254
87	0.4376710395
88	0.4375897602
89	0.4375510909
90	0.4374928923
91	0.4374199161
92	0.4373732792
93	0.4372970735
94	0.4372587031
95	0.4371868468
96	0.4370830738
97	0.4370073021
98	0.4369107031
99	0.4368691477
100	0.4368022913
101	0.4367288154
102	0.4366553149
103	0.436563036
104	0.4365052972
105	0.436431763
106	0.4363797888
107	0.436314342
108	0.4362688409
109	0.4361699628
110	0.4361056782
111	0.4360536499
112	0.4359711266
113	0.4358988398
114	0.435828463
115	0.4357496178
116	0.4356730793
117	0.4356349487
118	0.4355981069
119	0.4355097409
120	0.4354563567
121	0.4354091787
122	0.4353471577
123	0.4352843392
124	0.4352478676
125	0.4351643047
126	0.4351161232
127	0.4350456361
128	0.4349997854
129	0.4349428694
130	0.4348640753
131	0.4348021801
132	0.43472242
133	0.4346772517
134	0.4346126721
135	0.434541168
136	0.4344561279
137	0.4343924751
138	0.4343548432
139	0.4342937109
140	0.4342351889
141	0.4341348306
142	0.4340624306
143	0.4339706832
144	0.4339063398
145	0.4338505312
146	0.4338199665
147	0.4337759755
148	0.4337053286
149	0.4336516097
150	0.4335745785
151	0.4335332476
152	0.4334662362
153	0.4334006189
154	0.433355207
155	0.4332763096
156	0.4332280437
157	0.4331773544
158	0.4330985509
159	0.4330685086
160	0.4329773434
161	0.4329092154
162	0.4328409373
163	0.4327756311
164	0.4327160975
165	0.4326748972
166	0.4325964445
167	0.432527476
168	0.4324485891
169	0.4323843646
170	0.4323086836
171	0.4322085166
172	0.4321565514
173	0.4320753609
174	0.4320362922
175	0.4319599505
176	0.4318940569
177	0.4318356971
178	0.4317834749
179	0.4317089567
180	0.4316708421
181	0.4316122863
182	0.4315578578
183	0.4314874446
184	0.4314631807
185	0.4314012911
186	0.4313504819
187	0.4312620798
188	0.4311948871
189	0.4311582374
190	0.431094278
191	0.4310415337
192	0.4309877019
193	0.4309402922
194	0.4309041122
195	0.4308414615
196	0.4307746311
197	0.4307060882
198	0.4306333594
199	0.4305670514
200	0.4304988942
201	0.4304579236
202	0.4304137599
203	0.4303463575
204	0.4302830719
205	0.4302366991
206	0.4301728857
207	0.430116214
208	0.4300649335
209	0.4299998766
210	0.4299469954
211	0.4299219268
212	0.4298868516
213	0.4298202138
214	0.4297700425
215	0.4297197153
216	0.4296769684
217	0.4296415995
218	0.4295873475
219	0.4295455934
220	0.429480211
221	0.4294194309
222	0.4293759957
223	0.4293209063
224	0.4292858559
225	0.4292465752
226	0.429201224
227	0.429162201
228	0.4291118241
229	0.4290677033
230	0.4290027042
231	0.4289554243
232	0.4288710111
233	0.4288310918
234	0.4287542983
235	0.4286750557
236	0.4286094774
237	0.428578433
238	0.4285213402
239	0.4284847844
240	0.4284379026
241	0.4284012341
242	0.4283536859
243	0.4283137128
244	0.4282700581
245	0.4282275083
246	0.4281770969
247	0.4281439347
248	0.4280883804
249	0.4280632906
250	0.4280102898
251	0.4279566373
252	0.4279007579
253	0.4278613907
254	0.4278214161
255	0.4277447943
256	0.4276809818
257	0.4276544829
258	0.427583082
259	0.4275593722
260	0.4274932043
261	0.4274255215
262	0.4273841015
263	0.4273362285
264	0.4272724501
265	0.4272042842
266	0.4271334802
267	0.4271053046
268	0.4270580452
269	0.4270032643
270	0.4269627732
271	0.4269110802
272	0.4268768658
273	0.4268165939
274	0.4267541268
275	0.4267036367
276	0.4266626229
277	0.4266155592
278	0.4265513364
279	0.4265176914
280	0.4264738993
281	0.4264393555
282	0.4263859382
283	0.4263501576
284	0.4263282665
285	0.4262693259
286	0.4262164386
287	0.4261661247
288	0.4261314128
289	0.426047989
290	0.4260045257
291	0.425958126
292	0.4259052305
293	0.4258502721
294	0.4257903029
295	0.4257482959
296	0.4256869713
297	0.4256385513
298	0.425611451
299	0.4255749662
300	0.4255387984
301	0.4254728192
302	0.4254211029
303	0.4253704373
304	0.4253073409
305	0.4252818442
306	0.4252263545
307	0.4251824374
308	0.4251610881
309	0.4251303015
310	0.4250992623
311	0.4250691139
312	0.4250064015
313	0.4249549252
314	0.4249319789
315	0.424886635
316	0.4248303445
317	0.424772566
318	0.4247309731
319	0.4246737043
320	0.4246179235
321	0.4245742568
322	0.4245277789
323	0.4244874249
324	0.4244270164
325	0.4243922513
326	0.4243515676
327	0.4243054473
328	0.4242700957
329	0.4242250776
330	0.4241763823
331	0.4241327928
332	0.4241000129
333	0.4240775214
334	0.4239884645
335	0.4239500138
336	0.4239117574
337	0.4239000002
338	0.4238645605
339	0.4238011631
340	0.4237876719
341	0.4237415921
342	0.4236907675
343	0.4236553345
344	0.4236170482
345	0.423561697
346	0.4235169352
347	0.4234896478
348	0.4234158648
349	0.4233831477
350	0.4233563914
351	0.4232722977
352	0.4232231344
353	0.423172647
354	0.4231370462
355	0.423102208
356	0.4230556151
357	0.4230188614
358	0.4229858616
359	0.4229324888
360	0.4228915691
361	0.4228649245
362	0.4228334942
363	0.4227895836
364	0.4227291985
365	0.4226898332
366	0.422622199
367	0.4225823541
368	0.4225217086
369	0.422499295
370	0.4224439961
371	0.4223942369
372	0.4223665287
373	0.422326622
374	0.4222661824
375	0.4222341568
376	0.4221780846
377	0.4221276648
378	0.4221020846
379	0.422070051
380	0.422024282
381	0.4219764015
382	0.421913518
383	0.4218728918
384	0.4218413708
385	0.4218215143
386	0.4217948752
387	0.4217327901
388	0.4216898917
389	0.4216630749
390	0.4216126387
391	0.4215540642
392	0.4215303046
393	0.4214717502
394	0.4214431292
395	0.4214067267
396	0.4213652836
397	0.4213100258
398	0.4212446299
399	0.4211805991
400	0.421140796
401	0.4211110128
402	0.4210742005
403	0.4210343645
404	0.4209865507
405	0.4209425676
406	0.4208915462
407	0.4208419592
408	0.4208150525
409	0.4207673901
410	0.4207146223
411	0.4206950681
412	0.4206302474
413	0.4206049509
414	0.4205552075
415	0.4204782594
416	0.420414903
417	0.4203721755
418	0.4203353547
419	0.4202811262
420	0.4202127775
421	0.4201817259
422	0.4201418823
423	0.4200862189
424	0.4200451312
425	0.4200168409
426	0.4199749833
427	0.4199333824
428	0.4199057768
429	0.419859376
430	0.4198117844
431	0.4197853235
432	0.4197308822
433	0.4196768617
434	0.4196412119
435	0.4195994251
436	0.4195415151
437	0.4194881496
438	0.4194414801
439	0.4194064917
440	0.4193729086
441	0.4193299387
442	0.4192972566
443	0.4192480792
444	0.4192173409
445	0.4191803263
446	0.4191218492
447	0.4190792139
448	0.4190228605
449	0.4189673482
450	0.4189226979
451	0.4188754921
452	0.418847791
453	0.4188263892
454	0.4187507855
455	0.4187033779
456	0.4186566596
457	0.418637501
458	0.4185854417
459	0.4185405206
460	0.4185170618
461	0.4184757586
462	0.4184371494
463	0.4183927202
464	0.4183538978
465	0.4183101923
466	0.4182770871
467	0.4182160599
468	0.4181942505
469	0.4181256425
470	0.4180928712
471	0.4180540143
472	0.418003784
473	0.4179721716
474	0.4179473226
475	0.41791377
476	0.4178925046
477	0.417852944
478	0.4178052162
479	0.4177433043
480	0.4177085549
481	0.4176677848
482	0.4176156094
483	0.4175758692
484	0.4175264979
485	0.4175011065
486	0.4174681449
487	0.4174264472
488	0.417390179
489	0.4173184565
490	0.417276275
491	0.417244793
492	0.417193085
493	0.4171328538
494	0.4170920892
495	0.4170434411
496	0.4170146122
497	0.4169687348
498	0.4169292662
499	0.4168910586
