iter	Passed	Remaining
0	36	18373
1	71	17784
2	105	17538
3	137	17107
4	171	16991
5	211	17383
6	247	17407
7	289	17776
8	323	17627
9	352	17275
10	387	17234
11	420	17095
12	461	17293
13	507	17604
14	550	17809
15	584	17678
16	617	17533
17	650	17428
18	688	17421
19	729	17513
20	767	17512
21	801	17421
22	834	17306
23	867	17207
24	905	17213
25	948	17282
26	988	17313
27	1021	17225
28	1055	17146
29	1088	17057
30	1125	17028
31	1178	17238
32	1216	17210
33	1248	17116
34	1283	17048
35	1310	16895
36	1346	16845
37	1387	16873
38	1428	16881
39	1460	16794
40	1491	16695
41	1530	16689
42	1567	16659
43	1612	16707
44	1653	16716
45	1687	16654
46	1721	16588
47	1752	16505
48	1788	16461
49	1832	16488
50	1878	16535
51	1912	16481
52	1946	16413
53	1980	16358
54	2020	16346
55	2061	16345
56	2099	16315
57	2134	16267
58	2168	16205
59	2200	16135
60	2237	16105
61	2278	16094
62	2317	16076
63	2349	16004
64	2383	15950
65	2420	15914
66	2457	15885
67	2497	15867
68	2537	15852
69	2574	15812
70	2605	15741
71	2648	15741
72	2701	15803
73	2746	15813
74	2780	15757
75	2812	15692
76	2845	15633
77	2883	15598
78	2919	15557
79	2960	15540
80	3000	15519
81	3034	15467
82	3069	15422
83	3102	15365
84	3140	15331
85	3178	15300
86	3215	15265
87	3250	15220
88	3285	15170
89	3317	15113
90	3354	15076
91	3395	15056
92	3434	15031
93	3468	14982
94	3500	14922
95	3533	14871
96	3568	14827
97	3616	14833
98	3656	14812
99	3688	14752
100	3720	14697
101	3754	14649
102	3794	14623
103	3833	14598
104	3874	14573
105	3909	14531
106	3940	14472
107	3974	14425
108	4007	14376
109	4053	14370
110	4095	14351
111	4128	14303
112	4162	14255
113	4197	14211
114	4231	14167
115	4267	14126
116	4308	14102
117	4347	14074
118	4378	14019
119	4414	13978
120	4452	13944
121	4488	13908
122	4532	13892
123	4577	13880
124	4611	13834
125	4646	13792
126	4678	13741
127	4718	13714
128	4759	13689
129	4798	13657
130	4831	13609
131	4867	13570
132	4901	13525
133	4936	13483
134	4975	13450
135	5016	13426
136	5051	13384
137	5086	13343
138	5120	13298
139	5158	13264
140	5201	13243
141	5241	13215
142	5275	13169
143	5309	13127
144	5343	13081
145	5376	13037
146	5416	13007
147	5460	12987
148	5495	12945
149	5529	12901
150	5563	12858
