iter	Passed	Remaining
0	5	7630
1	10	7920
2	16	8138
3	21	8087
4	27	8264
5	33	8342
6	39	8433
7	45	8559
8	51	8568
9	57	8542
10	62	8483
11	68	8473
12	74	8489
13	79	8463
14	85	8508
15	93	8668
16	99	8694
17	105	8718
18	111	8698
19	117	8659
20	122	8657
21	128	8652
22	134	8652
23	140	8648
24	146	8631
25	152	8617
26	157	8611
27	162	8567
28	169	8581
29	175	8577
30	180	8576
31	186	8538
32	192	8556
33	199	8606
34	205	8616
35	211	8619
36	217	8599
37	223	8585
38	229	8586
39	234	8566
40	241	8604
41	247	8597
42	253	8575
43	259	8600
44	265	8586
45	271	8572
46	276	8562
47	282	8551
48	289	8585
49	296	8594
50	303	8608
51	309	8615
52	315	8612
53	322	8628
54	327	8605
55	333	8612
56	340	8611
57	346	8607
58	352	8603
59	357	8591
60	364	8590
61	369	8575
62	374	8539
63	380	8533
64	385	8517
65	391	8512
66	397	8511
67	404	8525
68	411	8543
69	417	8529
70	422	8510
71	428	8500
72	434	8492
73	440	8490
74	445	8468
75	451	8451
76	456	8434
77	462	8428
78	467	8416
79	473	8409
80	479	8403
81	485	8398
82	491	8390
83	496	8375
84	503	8377
85	509	8369
86	515	8379
87	521	8364
88	527	8356
89	532	8348
90	540	8363
91	546	8359
92	551	8351
93	557	8341
94	563	8334
95	569	8323
96	575	8322
97	581	8314
98	586	8299
99	592	8294
100	598	8287
101	603	8266
102	609	8265
103	615	8263
104	622	8269
105	628	8262
106	634	8254
107	639	8244
108	645	8236
109	651	8234
110	657	8226
111	662	8211
112	668	8202
113	675	8210
114	681	8202
115	686	8193
116	692	8185
117	698	8179
118	704	8171
119	710	8173
120	716	8163
121	722	8159
122	728	8159
123	734	8152
124	740	8145
125	746	8136
126	751	8122
127	757	8115
128	762	8108
129	768	8094
130	774	8095
131	780	8085
132	788	8100
133	794	8101
134	800	8094
135	806	8087
136	812	8083
137	818	8079
138	824	8075
139	831	8079
140	837	8071
141	843	8064
142	848	8051
143	854	8042
144	859	8032
145	865	8027
146	871	8019
147	876	8007
148	881	7996
149	887	7988
150	893	7982
151	899	7976
152	905	7969
153	912	7974
154	918	7966
155	923	7959
156	930	7956
157	935	7945
158	942	7948
159	948	7945
160	955	7943
161	961	7940
162	967	7936
163	974	7934
164	980	7933
165	986	7927
166	992	7921
167	998	7917
168	1003	7899
169	1009	7895
170	1014	7881
171	1020	7876
172	1026	7876
173	1033	7873
174	1039	7873
175	1046	7871
176	1052	7867
177	1057	7855
178	1063	7848
179	1069	7840
180	1075	7836
181	1080	7826
182	1086	7816
183	1091	7807
184	1097	7800
185	1103	7793
186	1109	7790
187	1114	7780
188	1121	7775
189	1127	7771
190	1133	7766
191	1138	7757
192	1144	7748
193	1150	7744
194	1155	7734
195	1161	7726
196	1167	7720
197	1172	7712
198	1178	7706
199	1184	7699
200	1191	7697
201	1197	7694
202	1202	7680
203	1207	7672
204	1213	7663
205	1218	7655
206	1224	7648
207	1230	7640
208	1235	7631
209	1241	7626
210	1247	7619
211	1253	7614
212	1260	7618
213	1267	7617
214	1273	7609
215	1278	7601
216	1284	7594
217	1291	7592
218	1296	7583
219	1302	7578
220	1308	7573
221	1314	7567
